actual,predicted
26790,126468.83947583947
24563,126468.83947583947
20346,23303.006666666668
22769,24995.2744665195
23082,126468.83947583947
25428,35837.81650135257
22009,126468.83947583947
25343,126468.83947583947
17433,23303.006666666668
22249,23303.006666666668
23478,126468.83947583947
22641,35837.81650135257
1421069,1196527.8181818181
24002,24995.2744665195
26598,24995.2744665195
22264,24995.2744665195
21534,23303.006666666668
21367,35837.81650135257
17114,21862.214285714286
24802,100113.71875
22818,35837.81650135257
20596,35837.81650135257
23826,35837.81650135257
24264,24995.2744665195
29823,29635.16417910448
22588,24995.2744665195
21817,23303.006666666668
24131,24995.2744665195
23319,35837.81650135257
28706,126468.83947583947
24128,35837.81650135257
24173,24995.2744665195
1135520,1134545.8
2014176,1310669.6666666667
22772,23303.006666666668
22111,24995.2744665195
25683,23303.006666666668
30160,126468.83947583947
23019,23303.006666666668
23282,24995.2744665195
24229,126468.83947583947
23829,35837.81650135257
24290,35837.81650135257
23746,35837.81650135257
20059,23303.006666666668
24039,23303.006666666668
31173,29635.16417910448
30397,24995.2744665195
22526,23303.006666666668
23988,44336.515625
29330,35837.81650135257
34983,35837.81650135257
22397,126468.83947583947
24249,35837.81650135257
23528,30937.164705882355
31958,44336.515625
1580204,1660703.125
21525,35837.81650135257
21795,100113.71875
25178,24995.2744665195
23332,23303.006666666668
21511,23303.006666666668
18692,24995.2744665195
29680,126468.83947583947
30093,100113.71875
20722,126468.83947583947
24197,100113.71875
24651,126468.83947583947
20854,23303.006666666668
21894,24995.2744665195
23895,946491.4666666667
30983,35837.81650135257
17435,126468.83947583947
25020,24995.2744665195
24314,24995.2744665195
30798,35837.81650135257
21329,126468.83947583947
21603,126468.83947583947
23874,35837.81650135257
24022,35837.81650135257
23194,126468.83947583947
29391,126468.83947583947
23867,126468.83947583947
24863,23303.006666666668
23035,126468.83947583947
20904,23303.006666666668
22241,126468.83947583947
21501,126468.83947583947
2009630,126468.83947583947
13259,23303.006666666668
24651,24995.2744665195
34356,126468.83947583947
23487,35837.81650135257
29168,35837.81650135257
24317,126468.83947583947
30625,35837.81650135257
45875,25012.125
21895,23303.006666666668
24841,126468.83947583947
25576,24995.2744665195
22606,23303.006666666668
18664,35837.81650135257
1409984,1196527.8181818181
31937,23303.006666666668
19888,23303.006666666668
20732,121757.75714285714
22414,24995.2744665195
24162,23303.006666666668
30081,35837.81650135257
24156,35837.81650135257
22943,126468.83947583947
19867,24995.2744665195
24109,35837.81650135257
29294,25012.125
26618,23303.006666666668
25018,23303.006666666668
22417,126468.83947583947
23364,23303.006666666668
24254,35837.81650135257
22118,24995.2744665195
24444,35837.81650135257
37317,126468.83947583947
25015,126468.83947583947
21812,24995.2744665195
24078,35837.81650135257
24283,35837.81650135257
23305,23303.006666666668
28070,30937.164705882355
22251,24995.2744665195
20031,24995.2744665195
20919,126468.83947583947
24913,24995.2744665195
22938,126468.83947583947
23404,126468.83947583947
29304,23303.006666666668
